FIPS	Name
02000	AK
02013	AK, Aleutians East
02016	AK, Aleutians West
02020	AK, Anchorage
02050	AK, Bethel
02060	AK, Bristol Bay
02068	AK, Denali
02070	AK, Dillingham
02090	AK, Fairbanks North Star
02100	AK, Haines
02110	AK, Juneau
02122	AK, Kenai Peninsula
02130	AK, Ketchikan Gateway
02150	AK, Kodiak Island
02164	AK, Lake and Peninsula
02170	AK, Matanuska-Susitna
02180	AK, Nome
02185	AK, North Slope
02188	AK, Northwest Arctic
02201	AK, Prince of Wales-Outer Ketchikan
02220	AK, Sitka
02232	AK, Skagway-Hoonah-Angoon
02240	AK, Southeast Fairbanks
02261	AK, Valdez-Cordova
02270	AK, Wade Hampton
02280	AK, Wrangell-Petersburg
02282	AK, Yakutat
02290	AK, Yukon-Koyukuk
01000	AL
01001	AL, Autauga
01003	AL, Baldwin
01005	AL, Barbour
01007	AL, Bibb
01009	AL, Blount
01011	AL, Bullock
01013	AL, Butler
01015	AL, Calhoun
01017	AL, Chambers
01019	AL, Cherokee
01021	AL, Chilton
01023	AL, Choctaw
01025	AL, Clarke
01027	AL, Clay
01029	AL, Cleburne
01031	AL, Coffee
01033	AL, Colbert
01035	AL, Conecuh
01037	AL, Coosa
01039	AL, Covington
01041	AL, Crenshaw
01043	AL, Cullman
01045	AL, Dale
01047	AL, Dallas
01049	AL, De Kalb
01051	AL, Elmore
01053	AL, Escambia
01055	AL, Etowah
01057	AL, Fayette
01059	AL, Franklin
01061	AL, Geneva
01063	AL, Greene
01065	AL, Hale
01067	AL, Henry
01069	AL, Houston
01071	AL, Jackson
01073	AL, Jefferson
01075	AL, Lamar
01077	AL, Lauderdale
01079	AL, Lawrence
01081	AL, Lee
01083	AL, Limestone
01085	AL, Lowndes
01087	AL, Macon
01089	AL, Madison
01091	AL, Marengo
01093	AL, Marion
01095	AL, Marshall
01097	AL, Mobile
01099	AL, Monroe
01101	AL, Montgomery
01103	AL, Morgan
01105	AL, Perry
01107	AL, Pickens
01109	AL, Pike
01111	AL, Randolph
01113	AL, Russell
01117	AL, Shelby
01115	AL, St. Clair
01119	AL, Sumter
01121	AL, Talladega
01123	AL, Tallapoosa
01125	AL, Tuscaloosa
01127	AL, Walker
01129	AL, Washington
01131	AL, Wilcox
01133	AL, Winston
05000	AR
05001	AR, Arkansas
05003	AR, Ashley
05005	AR, Baxter
05007	AR, Benton
05009	AR, Boone
05011	AR, Bradley
05013	AR, Calhoun
05015	AR, Carroll
05017	AR, Chicot
05019	AR, Clark
05021	AR, Clay
05023	AR, Cleburne
05025	AR, Cleveland
05027	AR, Columbia
05029	AR, Conway
05031	AR, Craighead
05033	AR, Crawford
05035	AR, Crittenden
05037	AR, Cross
05039	AR, Dallas
05041	AR, Desha
05043	AR, Drew
05045	AR, Faulkner
05047	AR, Franklin
05049	AR, Fulton
05051	AR, Garland
05053	AR, Grant
05055	AR, Greene
05057	AR, Hempstead
05059	AR, Hot Spring
05061	AR, Howard
05063	AR, Independence
05065	AR, Izard
05067	AR, Jackson
