acronym	fullName
//THESE MUST BE QUITE RELIABLY UNAMBIGUOUS!   (98% confidence?)
//Lines starting with // are ignored
//Sources: https://www.nodc.noaa.gov/General/mhdj_acronyms3.html
// and http://www.psmsl.org/train_and_info/training/manuals/acronyms.html
// and http://www.bco-dmo.org/funding/355
//FUTURE: support ambiguities (1 acronym = multiple definitions)?
//FUTURE SOURCES:
//https://ioos.noaa.gov/communications/resources/acronyms/
//https://earthdata.nasa.gov/user-resources/acronym-list
//gcmd service providers: https://gcmd.nasa.gov/KeywordSearch/Titles.do?Portal=GCMD&current=ServiceParameters&MetadataType=1#0
//https://science.msfc.nasa.gov/acronyms
//https://www.nasa.gov/pdf/632702main_NASA_FY13_Budget-Reference-508.pdf
//https://www.nap.edu/read/13405/chapter/16
//https://en.wikipedia.org/wiki/Climate_change_acronyms
//https://www.ametsoc.org/ams/index.cfm/publications/authors/journal-and-bams-authors/formatting-and-manuscript-components/list-of-acronyms-and-abbreviations/
AASP	Australian Antarctic Sciences Program
AATSR	Advanced Along Track Scanning Radiometer
ABOM	Australia Bureau of Meteorology
ACCLAIM	Antarctic Circumpolar Currents Levels by Altimetry and Island Measurement
ACECRC	Antarctic Climate and Ecosystems Cooperative Research Centre
ADCP	Acoustic Doppler Current Profiler
ADCIRC	ADvanced CIRCulation
adcirc	ADvanced CIRCulation
AFSC	Alaska Fisheries Science Center
AI	Agouron Institute
AIMS	Australian Institute of Marine Science
AKRO	Alaska Regional Office
ALACE	Autonomous Lagrangian Circulation Explorer
AMIP	Atmosphere Model Intercomparison Project
AMSR-2	Advanced Microwave Scanning Radiometer on JAXA's GCOM-W1
AMSRE	Advanced Microwave Scanning Radiometer on EOS
AMSR-E	Advanced Microwave Scanning Radiometer on EOS
AMSR	Advanced Microwave Scanning Radiometer
ANDAS	Automated Near-real-time Data Acquiring System
ANT	Antarctic Sciences
AOD	Aerosol Optical Depth
AODC	Australian Oceanographic Data Center
AOML	Atlantic Oceanographic & Meteorological Laboratory
AOOS	Alaska Ocean Observing System
AOU	Apparent Oxygen Utilization
APDRC	Asia-Pacific Data-Research Center
ARC	Arctic Sciences
ARGO	Array for Real-time Geostrophic Oceanography
AR3	Third Assessment Report
AR4	Fourth Assessment Report
AR5	Fifth Assessment Report
AR6	Sixth Assessment Report
ARL	Air Resources Laboratory
ARRM	Asynchronous Regional Regression Model
ARSLOE	Atlantic Remote Sensing Land/Ocean Experiment
ARW	Advanced Research Weather Research and Forecasting Model
ASCAT	Advanced SCATterometer
ASMD	Atlas of Surface Marine Data
ASTEP	Astrobiology Science & Technology for Exploring Planets
ATDB	Accession Tracking Data Base
ATES	Alcatel Espace Systems
AVHRR	Advanced Very High Resolution Radiometer
AVISO	Archiving, Validation and Interpretation of Satellite Data in Oceanography
AVNIR	Advanced Visible & Near-Infrared Radiometer
AWI	Alfred Wegener Instituite for Polar and Marine Research
AWIPS	Automated Weather Interactive Processing System
AXBT	Airborne eXpendable BathyThermograph
BCO-DMO	Biological and Chemical Oceanography Data Management Office
BIRS	Biological Information Retrieval System
BODC	British Oceanographic Data Centre
BOEM	Bureau of Ocean Energy Management
BoM	Bureau of Meteorology
BOM	Bureau of Meteorology
C-DEBI	Center for Dark Energy Biosphere Investigations
CalCOFI	California Cooperative Oceanic Fisheries Investigations
CAMMP	Coastal and Marine Management Program
CAMS	Climate Anomaly Monitoring System
CaRA	Caribbean Regional Association
CariCOOS	Caribbean Coastal Ocean Observing System
CARDEEP	CARbon dioxide and DEEPwater formation
CARDS	Comprehensive Aerological Reference Data Set
CASG	California Sea Grant
CBMP	Chesapeake Bay Monitoring Program
CCMA	Center for Coastal Monitoring and Assessment
CCRS	Canadian Center for Remote Sensing
CCSP	Climate Change Science Program
CDAS	Climate Data Assimilation System
CDFW	California Department of Fish and Wildlife
CDOM	Colored Dissolved Organic Matter
CDRI	Climate Data Research Institute
CEMES	Centre d'Etudes de la Meteorologie Spatiale
CeNCOOS	Central and Northern California Ocean Observing System
CEONet	Canadian Earth Observation Network
CERSAT	Centre ERS d'Archivage et de Traitment
CF	Climate and Forecast
CFC	ChloroFlouroCarbon
CGDI	Canadian Geospatial Data Infrastructure
CHLA	Chlorophyll-a
CIGAR	Cooperative Investigations of the Caribbean & Adjacent Regions
CIMAR	Centro de Investigacao Marinha e Ambiental
CIMT	Center for Integrated Marine Technology
CINECA	Cooperative Investigations of the Northern part of the Eastern Central Atlantic
CIOSS	Cooperative Institute for Oceanographic Satellite Studies
CIRA	Cooperative Institute for Research the Atmosphere
CIRES	Cooperative Institute for Research in Environmental Sciences
CLASS	Comprehensive Large Array-data Stewardship System
CLIMAP	Climate: Long-range Investigation Mapping and Prediction
CLIVAR	Climate Variability and Predictability programme
CLS	Collecte Localisation Satellites
C-MAN	Coastal Marine Automated Networks
CMAN	Coastal Marine Automated Networks
CMC	Canadian Meteorological Centre
CMD	Continuously Managed Database
CMIP	Climate Model Intercomparison Project
CMIP4	Climate Model Intercomparison Project 4
CMIP5	Climate Model Intercomparison Project 5
CMIP6	Climate Model Intercomparison Project 6
CMOR	Climate Model Output Rewriter
CNES	Centre National d'Etudes Spatiales
CNMI	Commonwealth of the Northen Mariana Islands
CNR	National Research Council
COADS	Comprehensive Ocean Atmosphere Data Set
COADS1	Comprehensive Ocean Atmosphere Data Set 1
COAP	Center for Ocean Analysis and Prediction
COAPS	Center for Ocean-Atmospheric Prediction Studies
COAS	College of Oceanic and Atmospheric Sciences
COAWST	Coupled Ocean-Atmosphere-Wave-Sediment Transport
//COBE	sst from jp via esrl psd
COCMP	Coastal Ocean Currents Monitoring Program
CODAR	Coastal Ocean Dynamics Applications Radar
CODAS	Common Oceanographic Data Analysis System
COGOW	Climatology of Global Ocean Winds
